id,name,description,category,price,rating,discount
1,"Stylish Leather Handbag","Elegant leather handbag with a classic design. The perfect accessory for any occasion.",Fashion,80,4,10
2,"Smartphone Stand and Charger","Convenient smartphone stand with a built-in charger. Keep your phone charged and accessible at all times.",Electronics,30,4.5,15
3,"Designer Sunglasses","Designer sunglasses with UV protection. Stay stylish while protecting your eyes from the sun.",Accessories,50,4,20
4,"Cotton Bed Sheets","High-quality cotton bed sheets for a comfortable night's sleep. Available in various sizes and colors.",Home & Living,45,4,0
5,"Bluetooth Wireless Earbuds","Wireless earbuds with Bluetooth connectivity. Enjoy your favorite music without tangled cords.",Electronics,60,4.5,10
6,"Vintage Vinyl Records","Vintage vinyl records of classic albums. Ideal for collectors and music enthusiasts.",Music & Entertainment,25,4,5
7,"Designer Wristwatch","Luxurious designer wristwatch with a stylish metal band. Elevate your fashion game.",Accessories,150,4,10
8,"Wooden Coffee Table","Elegant wooden coffee table for your living room. Add a touch of sophistication to your home decor.",Home & Living,120,4.5,10
9,"Digital Camera","High-quality digital camera for capturing memorable moments. Perfect for photography enthusiasts.",Cameras & Photography,250,4,0
10,"Wireless Computer Mouse","Ergonomic wireless computer mouse for comfortable use. Ideal for work and gaming.",Computers & Accessories,35,4,15
11,"Crystal Chandelier","Stunning crystal chandelier for elegant lighting in your home. Create a luxurious ambiance.",Home & Living,180,4,10
12,"Leather Wallet","Classic leather wallet with multiple card slots and a stylish design. Stay organized in style.",Accessories,40,4.5,5
13,"Antique Wall Clock","Antique-style wall clock for a vintage touch in your home decor. Keep time in a charming way.",Home & Living,75,4,10
14,"Elegant Dinnerware Set","Elegant dinnerware set for special occasions. Impress your guests with stylish tableware.",Home & Living,70,4.5,10
15,"Noise-Canceling Headphones","Noise-canceling headphones for an immersive audio experience. Ideal for music lovers and travelers.",Electronics,120,4,0
16,"Bamboo Cutting Board Set","Bamboo cutting board set for your kitchen. Durable and eco-friendly.",Kitchen & Dining,25,4.5,15
17,"Vintage Leather Armchair","Vintage-style leather armchair for your living room. Create a cozy reading nook.",Furniture,220,4,10
18,"Silver Pendant Necklace","Silver pendant necklace with a beautiful design. The perfect gift for a loved one.",Accessories,55,4.5,10
19,"Ceramic Plant Pots","Ceramic plant pots for your indoor plants. Add a touch of nature to your home.",Home & Living,15,4,0
20,"Chef's Knife Set","High-quality chef's knife set for your kitchen. Slice and dice with precision.",Kitchen & Dining,65,4,10
21,"Digital Drawing Tablet","Digital drawing tablet for artists and graphic designers. Unleash your creativity digitally.",Electronics,90,4.5,15
22,"Handcrafted Wooden Desk","Handcrafted wooden desk for your home office. Create a productive and stylish workspace.",Furniture,200,4,10
23,"Designer Handbag","Designer handbag with a chic and modern design. Elevate your fashion game.",Fashion,100,4.5,5
24,"Artificial Indoor Plant","Artificial indoor plant for low-maintenance greenery in your home. Decorate with ease.",Home & Living,30,4,20
25,"Aromatherapy Essential Oils","Aromatherapy essential oils for a relaxing atmosphere. Enjoy the benefits of soothing scents.",Health & Wellness,20,4,10
26,"Handmade Ceramic Vase","Handmade ceramic vase for your floral arrangements. Add a touch of art to your home decor.",Home & Living,35,4.5,10
27,"Gourmet Coffee Beans","Gourmet coffee beans for coffee connoisseurs. Savor the rich flavors of premium coffee.",Food & Beverages,18,4,0
28,"Vintage Wall Mirror","Vintage-style wall mirror for a touch of old-world charm in your home. Check your reflection in style.",Home & Living,60,4,5
